2 	 1	 kippa	 42 	 {'kipptust', 'kippti'}
2 	 2	 lifna	 42 	 {'lifnaði'}
2 	 2	 drukkna	 1 	 {'drukknaði', 'drukknuðu'}
2 	 2	 fúna	 1 	 {'fúnaði'}
2 	 S	 spýja	 j2 	 {'spjó'}
2 	 1	 letja	 4j2 	 {'latti'}
2 	 1	 endurnýja	 41j2 	 {'endurnýjaðist', 'endurnýjuðu'}
2 	 S	 kljúfa	 1 	 {'klauf'}
2 	 1	 spá	 0 	 {'spáði'}
2 	 S	 hlæja	 3j2 	 {'hló', 'hlógu'}
2 	 1	 þægja	 3j2 	 {'þægið', 'þægjum'}
2 	 2	 hörfa	 1 	 {'hörfaði', 'hörfuðu'}
2 	 S	 slíta	 2 	 {'sliti', 'sleit'}
2 	 2	 akta	 1 	 {'öktuðu', 'aktaði'}
2 	 S	 kæla	 32 	 {'kól'}
2 	 1	 merka	 42 	 {'merkti'}
2 	 S	 bjarga	 1 	 {'barg', 'burgu'}
2 	 1	 enda	 42 	 {'endi'}
2 	 S	 blóta	 1 	 {'blótuðu', 'blótaði'}
2 	 2	 setta	 42 	 {'settuð'}
2 	 S	 snerta	 42 	 {'snart'}
2 	 2	 granda	 1 	 {'grandaði'}
2 	 1	 mæða	 32 	 {'mæddist', 'mæddi'}
2 	 S	 sveikva	 42 	 {'sveik'}
2 	 2	 vegsama	 412 	 {'(vbdi vegsamaði', 'vegsamaðist'}
2 	 1	 bergja	 4j2 	 {'bergði'}
2 	 2	 opa	 1 	 {'opaði'}
2 	 2	 göfga	 1 	 {'göfguðu', 'göfgaðist'}
2 	 S	 vaða	 1 	 {'óð'}
2 	 1	 ógleðja	 41j2 	 {'ógladdist'}
2 	 1	 spura	 1 	 {'spurði'}
